epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1496.51,0.9572,0.6602,1.17831,0.96223,0.97444,0.99025,0.73504,0.96461,0.41468,1.18674,0.000848969,0.000848969,0.000848969
43,1531.31,0.94578,0.64133,1.18117,0.92839,0.96781,0.9882,0.72837,0.99797,0.46212,1.20962,0.000834822,0.000834822,0.000834822
44,1565.81,0.97411,0.6563,1.18982,0.97085,0.97841,0.99234,0.74739,0.97621,0.4001,1.20747,0.000820675,0.000820675,0.000820675
45,1600.87,0.96544,0.66341,1.18144,0.97026,0.9813,0.9936,0.75162,0.96578,0.41069,1.19814,0.000806528,0.000806528,0.000806528
46,1640.77,0.94529,0.63477,1.16838,0.96274,0.97208,0.99065,0.72338,1.01514,0.41511,1.22145,0.00079238,0.00079238,0.00079238
47,1675.31,0.92527,0.6312,1.17956,0.96046,0.96903,0.99103,0.73336,0.96056,0.42766,1.17695,0.000778233,0.000778233,0.000778233
48,1709.71,0.94215,0.6398,1.17761,0.96913,0.97698,0.99309,0.73764,0.97129,0.39635,1.18732,0.000764086,0.000764086,0.000764086
49,1744.79,0.94843,0.64488,1.18907,0.96106,0.97515,0.98864,0.71603,1.05446,0.41967,1.2457,0.000749939,0.000749939,0.000749939
50,1779.44,0.9541,0.64175,1.17834,0.97319,0.98118,0.98544,0.73148,0.97727,0.37292,1.20689,0.000735792,0.000735792,0.000735792
51,1814.62,0.95036,0.61122,1.17725,0.98253,0.98215,0.99165,0.75059,0.96565,0.39405,1.19486,0.000721645,0.000721645,0.000721645
52,1848.93,0.9276,0.59676,1.17237,0.97199,0.98861,0.99229,0.74991,0.97542,0.38925,1.20494,0.000707498,0.000707498,0.000707498
53,1883.56,0.92979,0.61567,1.17243,0.97615,0.97197,0.99342,0.74028,0.96555,0.40197,1.1898,0.000693351,0.000693351,0.000693351
54,1917.89,0.93216,0.62276,1.16674,0.97392,0.97151,0.99199,0.743,0.97027,0.39916,1.18121,0.000679204,0.000679204,0.000679204
55,1952.55,0.95042,0.70071,1.1948,0.97696,0.97118,0.98456,0.74402,0.96742,0.40838,1.19796,0.000665057,0.000665057,0.000665057
56,1986.97,0.95547,0.63291,1.18249,0.97668,0.97949,0.9844,0.73684,0.96259,0.37025,1.19243,0.000650909,0.000650909,0.000650909
57,2021.19,0.9306,0.58452,1.1626,0.97905,0.96345,0.98374,0.74384,0.95076,0.4186,1.18492,0.000636762,0.000636762,0.000636762
58,2055.65,0.9277,0.60445,1.16448,0.95871,0.98153,0.99177,0.74474,0.97129,0.40433,1.18902,0.000622615,0.000622615,0.000622615
59,2089.78,0.93202,0.60771,1.16142,0.97455,0.96254,0.98862,0.74643,0.95676,0.38506,1.18153,0.000608468,0.000608468,0.000608468
60,2124.15,0.92742,0.61255,1.16479,0.97971,0.969,0.98981,0.74931,0.97206,0.40118,1.2009,0.000594321,0.000594321,0.000594321
61,2159.3,0.91628,0.62802,1.15605,0.98253,0.97741,0.99123,0.73592,0.98043,0.36767,1.20094,0.000580174,0.000580174,0.000580174
62,2194.14,0.92269,0.59643,1.16526,0.97929,0.97384,0.99339,0.75368,0.96592,0.37791,1.1884,0.000566027,0.000566027,0.000566027
63,2234.55,0.93248,0.58974,1.16386,0.97457,0.98535,0.99304,0.74391,0.98166,0.39075,1.2026,0.00055188,0.00055188,0.00055188
64,2269.6,0.93259,0.58942,1.17335,0.97754,0.98569,0.9944,0.74766,0.95623,0.37479,1.16754,0.000537733,0.000537733,0.000537733
65,2304.19,0.89809,0.57908,1.15107,0.98943,0.98768,0.99264,0.74649,0.95519,0.34247,1.183,0.000523586,0.000523586,0.000523586
66,2339.39,0.90364,0.59499,1.15593,0.98969,0.99026,0.99469,0.75229,0.97859,0.3511,1.19009,0.000509438,0.000509438,0.000509438
67,2374.38,0.90901,0.57333,1.16233,0.98136,0.99087,0.99367,0.75351,0.95963,0.36596,1.18298,0.000495291,0.000495291,0.000495291
68,2409.1,0.8833,0.55165,1.13996,0.98975,0.98545,0.99409,0.74894,0.97278,0.36274,1.19544,0.000481144,0.000481144,0.000481144
69,2444.04,0.90355,0.5494,1.14693,0.98963,0.99731,0.99445,0.75821,0.97008,0.34938,1.19068,0.000466997,0.000466997,0.000466997
70,2480.35,0.90629,0.54457,1.15973,0.98128,0.99501,0.99379,0.75762,0.93742,0.33818,1.17586,0.00045285,0.00045285,0.00045285
71,2515.53,0.91806,0.60513,1.17174,0.98624,0.98121,0.9943,0.7561,0.94309,0.34795,1.16964,0.000438703,0.000438703,0.000438703
72,2550.84,0.91613,0.54261,1.17048,0.97975,0.99287,0.99117,0.7636,0.9563,0.34759,1.17843,0.000424556,0.000424556,0.000424556
73,2586.9,0.87629,0.57625,1.14988,0.97421,0.98586,0.99445,0.76032,0.9457,0.37067,1.1817,0.000410409,0.000410409,0.000410409
74,2622.33,0.87434,0.56541,1.15119,0.98091,0.99258,0.99388,0.76725,0.94498,0.3355,1.17155,0.000396262,0.000396262,0.000396262
75,2658.89,0.89448,0.55302,1.14432,0.98575,0.99189,0.99458,0.75134,0.95803,0.34022,1.18378,0.000382115,0.000382115,0.000382115
76,2694.24,0.86254,0.54216,1.13039,0.98689,0.99179,0.99461,0.7599,0.94502,0.3299,1.17467,0.000367967,0.000367967,0.000367967
77,2729.09,0.88096,0.54988,1.14595,0.99157,0.98533,0.99211,0.75864,0.95168,0.3455,1.18185,0.00035382,0.00035382,0.00035382
78,2763.97,0.88103,0.51589,1.14407,0.99008,0.98671,0.99036,0.76246,0.94126,0.32624,1.17408,0.000339673,0.000339673,0.000339673
79,2798.92,0.86295,0.53249,1.11246,0.98853,0.98907,0.99455,0.76434,0.95369,0.34004,1.18064,0.000325526,0.000325526,0.000325526
80,2834.41,0.87944,0.53536,1.14682,0.98631,0.99947,0.99474,0.74562,0.99891,0.33559,1.19131,0.000311379,0.000311379,0.000311379
81,2869.45,0.89401,0.55963,1.15091,0.9801,0.99429,0.99457,0.76317,0.93854,0.33203,1.17169,0.000297232,0.000297232,0.000297232
82,2904.34,0.87594,0.56752,1.13721,0.98604,0.98533,0.98888,0.76272,0.96703,0.33842,1.18658,0.000283085,0.000283085,0.000283085
83,2939.19,0.87967,0.54488,1.13145,0.98682,0.99178,0.99424,0.7561,0.94712,0.33378,1.1837,0.000268938,0.000268938,0.000268938
84,2974.18,0.85583,0.5187,1.12502,0.98941,0.99564,0.99484,0.76404,0.94721,0.33,1.1783,0.000254791,0.000254791,0.000254791
85,3009.24,0.85681,0.50521,1.13746,0.99269,0.99567,0.99487,0.75763,0.95009,0.31963,1.17355,0.000240644,0.000240644,0.000240644
86,3043.9,0.87813,0.5136,1.13369,0.98873,0.99529,0.99275,0.76158,0.94349,0.33391,1.17118,0.000226497,0.000226497,0.000226497
87,3078.53,0.85615,0.50522,1.12379,0.98536,0.99504,0.99354,0.76317,0.95198,0.33335,1.18139,0.000212349,0.000212349,0.000212349
88,3113,0.86475,0.50019,1.14247,0.98697,0.99717,0.99483,0.76001,0.95172,0.32977,1.178,0.000198202,0.000198202,0.000198202
89,3147.66,0.82694,0.50315,1.10302,0.99239,0.99679,0.99493,0.7621,0.95948,0.32865,1.18398,0.000184055,0.000184055,0.000184055
90,3182.28,0.84269,0.51141,1.12341,0.98773,0.99393,0.99493,0.76408,0.95682,0.32506,1.17556,0.000169908,0.000169908,0.000169908
91,3218.58,0.84829,0.32308,1.19246,0.97785,0.99145,0.99018,0.75619,0.9594,0.34242,1.18393,0.000155761,0.000155761,0.000155761
92,3252.77,0.84934,0.31087,1.17996,0.98406,0.98707,0.99026,0.76783,0.94604,0.33271,1.17349,0.000141614,0.000141614,0.000141614
93,3292.67,0.8275,0.30674,1.17957,0.98318,0.99419,0.99424,0.77204,0.94013,0.33612,1.17232,0.000127467,0.000127467,0.000127467
94,3330.11,0.85433,0.32015,1.20527,0.98574,0.99346,0.99315,0.77008,0.93307,0.32819,1.16633,0.00011332,0.00011332,0.00011332
95,3364.33,0.84514,0.31291,1.17628,0.98375,0.99903,0.99457,0.7706,0.94565,0.33074,1.17397,9.91726e-05,9.91726e-05,9.91726e-05
96,3398.79,0.83715,0.30698,1.18362,0.98703,0.99607,0.99403,0.76702,0.94445,0.33879,1.17835,8.50255e-05,8.50255e-05,8.50255e-05
97,3433.22,0.82268,0.30508,1.17537,0.98753,0.99601,0.99422,0.76405,0.94249,0.34804,1.17546,7.08784e-05,7.08784e-05,7.08784e-05
98,3468.13,0.81613,0.29739,1.16678,0.9873,0.99289,0.99352,0.77304,0.94009,0.34409,1.17115,5.67313e-05,5.67313e-05,5.67313e-05
99,3508.53,0.81436,0.30788,1.17738,0.98699,0.99472,0.99324,0.76706,0.94063,0.34,1.17337,4.25842e-05,4.25842e-05,4.25842e-05
100,3544.33,0.81181,0.30092,1.15954,0.98494,0.99579,0.99329,0.76953,0.93987,0.34038,1.17397,2.84371e-05,2.84371e-05,2.84371e-05
